PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.71, 'stoploss': 11.3} Rank = 49 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.68, 'stoploss': 11.28} Rank = 50 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.57, 'stoploss': 11.26} Rank = 51 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.68, 'stoploss': 11.31} Rank = 52 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.64, 'stoploss': 11.3} Rank = 53 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.7, 'stoploss': 11.3} Rank = 54 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 100, 'takeprofit': 39.56, 'stoploss': 11.26} Rank = 55 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 103, 'takeprofit': 39.61, 'stoploss': 11.31} Rank = 56 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 102, 'takeprofit': 39.58, 'stoploss': 11.29} Rank = 57 Crowding Distance = inf
PNL = 53.44 Max. Drawdown = 46.56 Parameters = {'slow_ma_period': 964, 'fast_ma_period': 46, 'atr_period': 101, 'takeprofit': 39.64, 'stoploss': 11.29} Rank = 58 Crowding Distance = inf
