PNL = 9851.61 Max. Drawdown = 406.79 Parameters = {'slow_ma_period': 400, 'fast_ma_period': 86, 'atr_period': 2000, 'takeprofit': 4.65, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.016639350760408508
PNL = 7162.64 Max. Drawdown = 252.92 Parameters = {'slow_ma_period': 1837, 'fast_ma_period': 5, 'atr_period': 128, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.01645116288479273
PNL = 9456.82 Max. Drawdown = 388.9 Parameters = {'slow_ma_period': 1929, 'fast_ma_period': 1, 'atr_period': 2000, 'takeprofit': 4.8, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.016443801562323584
PNL = 10511.05 Max. Drawdown = 568.2 Parameters = {'slow_ma_period': 930, 'fast_ma_period': 1, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.01545118932251183
PNL = 3552.06 Max. Drawdown = 154.89 Parameters = {'slow_ma_period': 919, 'fast_ma_period': 16, 'atr_period': 1824, 'takeprofit': 2.03, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.015307496925224026
PNL = 7264.39 Max. Drawdown = 270.74 Parameters = {'slow_ma_period': 1045, 'fast_ma_period': 4, 'atr_period': 184, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.014979698730414617
PNL = 7216.01 Max. Drawdown = 269.12 Parameters = {'slow_ma_period': 1045, 'fast_ma_period': 3, 'atr_period': 185, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.014956793900272807
PNL = 3384.47 Max. Drawdown = 151.2 Parameters = {'slow_ma_period': 931, 'fast_ma_period': 18, 'atr_period': 1814, 'takeprofit': 2.0, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.01451804316289387
PNL = 3563.57 Max. Drawdown = 155.4 Parameters = {'slow_ma_period': 919, 'fast_ma_period': 20, 'atr_period': 1824, 'takeprofit': 2.03, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.014186447224387597
PNL = 10786.5 Max. Drawdown = 583.09 Parameters = {'slow_ma_period': 933, 'fast_ma_period': 8, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013823409940772316
PNL = 10851.57 Max. Drawdown = 586.86 Parameters = {'slow_ma_period': 924, 'fast_ma_period': 1, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013816973455398921
PNL = 11283.04 Max. Drawdown = 610.19 Parameters = {'slow_ma_period': 923, 'fast_ma_period': 3, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.013537860974710231
