PNL,Max_Drawdown,slow_ma_period,fast_ma_period,atr_period,takeprofit,stoploss
26990599.98,0.0, 612, 5, 690, 41.48, 9.76
26990082.76,0.0, 606, 3, 698, 41.39, 9.73
26988275.75,0.0, 604, 7, 696, 41.09, 9.77
26987899.78,0.0, 609, 6, 692, 41.34, 9.71
26987899.78,0.0, 610, 5, 692, 41.34, 9.71
26983781.06,0.0, 609, 6, 692, 41.39, 9.73
26983781.06,0.0, 610, 5, 692, 41.39, 9.73
26982712.19,0.0, 612, 5, 690, 41.4, 9.73
26974584.72,0.0, 609, 6, 692, 41.49, 9.77
26971192.57,0.0, 612, 5, 690, 41.34, 9.71
26970087.25,0.0, 612, 5, 690, 41.37, 9.72
26965790.42,0.0, 612, 5, 690, 41.42, 9.74
26962289.59,0.0, 610, 5, 692, 41.46, 9.76
26959325.57,0.0, 610, 5, 692, 41.3, 9.7
26959325.57,0.0, 609, 6, 692, 41.3, 9.7
26954311.86,0.0, 609, 6, 692, 41.38, 9.73
26953252.03,0.0, 612, 5, 690, 41.39, 9.73
26945179.15,0.0, 610, 5, 692, 41.48, 9.77
26945179.15,0.0, 609, 6, 692, 41.48, 9.77
26944051.18,0.0, 612, 5, 690, 41.49, 9.77
26943671.7,0.0, 606, 3, 698, 41.4, 9.74
26937431.81,0.0, 609, 6, 692, 41.4, 9.74
26937431.81,0.0, 610, 5, 692, 41.4, 9.74
26935255.05,0.0, 606, 3, 698, 41.32, 9.71
26932721.81,0.0, 604, 7, 696, 41.02, 9.75
26931774.95,0.0, 612, 5, 690, 41.46, 9.76
26931132.98,0.0, 606, 3, 698, 41.37, 9.73
26929003.3,0.0, 604, 7, 696, 41.07, 9.77
26928925.47,0.0, 610, 5, 692, 41.32, 9.71
26928925.47,0.0, 609, 6, 692, 41.32, 9.71
26928882.54,0.0, 612, 5, 690, 41.3, 9.7
26926691.64,0.0, 606, 3, 698, 41.42, 9.75
26924869.47,0.0, 609, 6, 692, 41.37, 9.73
26924869.47,0.0, 610, 5, 692, 41.37, 9.73
26920494.47,0.0, 610, 5, 692, 41.42, 9.75
26920494.47,0.0, 609, 6, 692, 41.42, 9.75
26918505.37,0.0, 606, 3, 698, 41.34, 9.72
26914681.39,0.0, 612, 5, 690, 41.48, 9.77
26914239.46,0.0, 606, 3, 698, 41.39, 9.74
26912259.78,0.0, 612, 5, 690, 41.32, 9.71
26912218.35,0.0, 610, 5, 692, 41.34, 9.72
26912218.35,0.0, 609, 6, 692, 41.34, 9.72
26908018.59,0.0, 609, 6, 692, 41.39, 9.74
26908018.59,0.0, 610, 5, 692, 41.39, 9.74
